date,open,high,low,close
2020/08/24,5541,5617,5512,5613
2020/08/21,5584,5596,5525,5539
2020/08/20,5709,5715,5558,5594
2020/08/19,5779,5816,5717,5718
2020/08/18,5911,5922,5858,5889
2020/08/17,5954,6000,5932,5936
2020/08/14,5935,6002,5905,5979
2020/08/13,5836,5889,5826,5869
2020/08/12,5766,5766,5693,5717
2020/08/11,5762,5778,5703,5776
2020/08/07,5696,5788,5684,5776
2020/08/06,5870,5872,5740,5746
2020/08/05,5915,6006,5766,5808
2020/08/04,5847,5924,5794,5911
2020/08/03,5593,5692,5563,5666
2020/07/31,5602,5611,5505,5512
2020/07/30,5604,5652,5558,5594
2020/07/29,5586,5629,5574,5591
2020/07/28,5685,5693,5647,5661
2020/07/27,5526,5656,5526,5626
2020/07/22,5671,5726,5671,5678
2020/07/21,5754,5812,5739,5768
2020/07/20,5623,5690,5587,5687
2020/07/17,5668,5682,5564,5602
2020/07/16,5669,5753,5632,5652
2020/07/15,5529,5631,5515,5626
2020/07/14,5548,5579,5481,5505
2020/07/13,5545,5643,5497,5623
2020/07/10,5380,5505,5338,5409
2020/07/09,5187,5377,5173,5342
2020/07/08,5204,5225,5179,5179
2020/07/07,5215,5268,5190,5237
2020/07/06,5276,5298,5250,5298
2020/07/03,5250,5271,5224,5257
2020/07/02,5296,5311,5236,5257
2020/07/01,5235,5255,5190,5216
2020/06/30,5200,5238,5157,5189
2020/06/29,5285,5285,5138,5146
2020/06/26,5307,5323,5280,5298
2020/06/25,5355,5399,5330,5330
2020/06/24,5406,5443,5387,5404
2020/06/23,5414,5421,5324,5404
2020/06/22,5433,5457,5384,5388
2020/06/19,5440,5449,5382,5398
2020/06/18,5401,5465,5399,5443
2020/06/17,5404,5492,5371,5453
2020/06/16,5311,5353,5279,5325
2020/06/15,5207,5333,5196,5215
2020/06/12,5215,5316,5139,5284
2020/06/11,5407,5469,5338,5355
2020/06/10,5274,5383,5251,5363
2020/06/09,5308,5327,5252,5302
2020/06/08,5290,5312,5257,5304
2020/06/05,5134,5227,5131,5227
2020/06/04,5226,5272,5167,5224
2020/06/03,5232,5236,5103,5147
2020/06/02,5063,5184,5063,5140
2020/06/01,4985,5030,4945,5030
2020/05/29,5015,5038,4965,4965
2020/05/28,4923,4984,4874,4978
2020/05/27,4843,4887,4828,4886
2020/05/26,4928,4928,4848,4882
2020/05/25,4986,4988,4873,4897
2020/05/22,4964,5020,4902,4919
2020/05/21,4952,5000,4931,4941
2020/05/20,4897,4979,4845,4911
2020/05/19,4993,5101,4941,5029
2020/05/18,4960,5009,4860,4877
2020/05/15,5047,5116,5004,5013
2020/05/14,4985,5049,4966,4967
2020/05/13,5133,5181,5109,5173
2020/05/12,5186,5223,5171,5180
2020/05/11,5142,5230,5126,5176
2020/05/08,5064,5114,5031,5100
2020/05/07,4959,5002,4935,4990
2020/05/01,5015,5040,4966,5006
2020/04/30,5080,5160,5028,5103
2020/04/28,4936,5027,4936,4984
